# Copyright (c) 2026 NyxeraLabs
# Author: José María Micoli
# Licensed under BSL 1.1
# Change Date: 2033-02-22 -> Apache-2.0
# 
# You may:
# Study
# Modify
# Use for internal security testing
# 
# You may NOT:
# Offer as a commercial service
# Sell derived competing products

Name,Description,List,Labels,Checklist
Validate real Nmap execution path and telemetry handoff,Confirm live scan and pipeline delivery behavior,Backlog,QA,
Implement manual Metasploit ingestion connector (sessions + session-events),Ingest operator-driven Metasploit activity from data APIs,Backlog,Integration,
Add checkpoint-based deduplication for Metasploit manual ingestion,Prevent duplicate ingestion across sync runs,Backlog,Integration,
Add CLI sync entrypoint for operator-driven Metasploit ingestion,Provide repeatable manual sync command for operators,Backlog,DevOps,
Add tests for manual Metasploit ingestion flow,Validate parsing deduplication and sync behavior,Backlog,QA,
Commit end-to-end stabilization updates (Nmap + Metasploit manual),Commit hardening and manual-ingestion baseline,Backlog,Dev,
Select broker standard (Kafka or RabbitMQ),Choose messaging backbone for async telemetry,Done,Architecture,RabbitMQ selected with exchange/queue/DLQ model
Implement telemetry publisher abstraction (TelemetryPublisher),Create broker-agnostic publisher interface,Done,Dev,Interface and RabbitMQ adapters implemented
Add broker-backed async telemetry delivery,Publish orchestrator telemetry to queue/topic,Done,Dev,Async flush path publishes telemetry events to broker
Add retry/dead-letter/idempotency for broker delivery,Harden async telemetry delivery path,Done,Dev,Bounded retry with DLQ and idempotency key dedup
Integration tests for broker publish/consume flow,Validate queue/topic end-to-end behavior,Done,QA,Integration and unit coverage added for publish/consume
Add dockerized RabbitMQ wiring + Makefile ops,Provide one-command deploy/test/logs workflows for messaging stack,Done,DevOps,Compose + Makefile targets for dev/prod and tools profile
Add remote operator endpoint env configuration,Default integrations to remote operator endpoints instead of localhost,Done,DevOps,MSF RPC/manual and RabbitMQ env-based config added
Commit messaging backbone,Commit messaging implementation,Done,Dev,Sprint 9.5 messaging baseline completed
Connect to Cobalt Strike API,Cobalt Strike beacon automation,Backlog,Dev,
Deploy beacon simulation (Cobalt Strike),Simulate attack beacon,Backlog,Dev,
Capture command output (Cobalt Strike),Capture commands,Backlog,Dev,
Log telemetry (Cobalt Strike),Log beacon events,Backlog,Dev,
Implement retry/error handling (Cobalt Strike),Ensure resilience,Backlog,Dev,
Unit tests (Cobalt Strike),Test wrapper,Backlog,Dev,
Commit wrapper (Cobalt Strike),Commit code,Backlog,Dev,
QA: verify beacon behavior (Cobalt Strike),Check beacon simulation,Backlog,QA,
QA: telemetry integration (Cobalt Strike),Confirm telemetry,Backlog,QA,
Setup Burp headless mode,Burp Suite web scanner automation,Backlog,Dev,
Configure target URLs (Burp),Configure targets,Backlog,Dev,
Automate spidering (Burp),Automate crawling,Backlog,Dev,
Automate active scanning (Burp),Automate vulnerability scans,Backlog,Dev,
Capture findings (Burp),Collect scan results,Backlog,Dev,
Send to orchestrator (Burp),Push Burp data,Backlog,Dev,
Unit tests (Burp),Test Burp integration,Backlog,Dev,
Commit wrapper (Burp),Commit Burp code,Backlog,Dev,
QA: validate scan coverage (Burp),Ensure all targets scanned,Backlog,QA,
QA: ensure AAA applied (Burp),Verify access control,Backlog,QA,
Define UI architecture and API contracts,Plan UI interaction model and backend contracts before Cobalt Strike implementation,Backlog,Architecture,
Implement Web UI foundation with Next.js + Tailwind CSS,Build initial web frontend baseline before Cobalt Strike implementation,Backlog,Frontend,
Implement auth views and operator dashboard shell (Web UI),Create login and operator landing experience,Backlog,Frontend,
Implement telemetry feed view (Nmap/Metasploit/Manual ingestion) (Web UI),Display live operational telemetry in web UI,Backlog,Frontend,
Implement findings and evidence navigation screens (Web UI),Expose findings and evidence browsing in web UI,Backlog,Frontend,
Wire Web UI actions to orchestrator and integration endpoints,Connect frontend workflows to SpectraStrike APIs,Backlog,Frontend,
Add Web UI tests (component/unit + basic E2E),Validate web UI behavior and core user flows,Backlog,QA,
Implement Interactive Terminal UI (Admin TUI) for operational control,Provide keyboard-first admin operations interface before Cobalt Strike implementation,Backlog,DevOps,
Add Admin TUI command workflows (task submission; telemetry watch; integration sync),Enable admin runtime operations from terminal UI,Backlog,DevOps,
Add Admin TUI tests and command-level QA checks,Validate admin TUI commands and interaction behavior,Backlog,QA,
Commit UI foundation (Web UI + Admin TUI),Commit frontend and terminal UI baseline,Backlog,Frontend,
Implement Dockerized runtime stack for all components,Containerize SpectraStrike services for consistent deployments before Cobalt Strike implementation,Done,DevOps,Dockerfile + compose dev/prod stacks implemented
Add Nginx reverse proxy container (TLS termination; routing; rate limits),Front proxy and edge security for all HTTP traffic,Done,Security,Nginx reverse proxy with rate limiting and hardened headers
Add PostgreSQL container for persistent operational data,Persist orchestrator and integration state in relational DB,Done,DevOps,PostgreSQL service with healthcheck and persistent volume
Add Redis container for cache and near-real-time log/event stream,Support low-latency caching and event/log buffering,Done,DevOps,Redis service with appendonly persistence and healthcheck
Add secure internal Docker network segmentation between services,Isolate service-to-service traffic with explicit network policy,Done,Security,internal core/tools networks and edge split configured
Add secrets/config management for credentials and API keys,Protect sensitive runtime configuration and tokens,Done,Security,compose secrets files + env-driven endpoint config
Add host firewall baseline for published Docker ports,Restrict ingress to explicitly approved exposed service ports,Done,Security,iptables DOCKER-USER baseline script and Make target added
Add egress allowlist enforcement for Docker traffic,Restrict outbound container traffic to approved network destinations,Done,Security,host egress allowlist script and Make target added
Add TLS certificate pinning for external integration clients,Defend against rogue certificates for outbound tool/API calls,Done,Security,Metasploit and VectorVue pinning checks implemented
Add HTTPS edge with optional mTLS in reverse proxy,Encrypt ingress traffic and optionally verify client certificates,Done,Security,Nginx TLS listener with optional mTLS client verification
Add internal mTLS for telemetry data plane,Encrypt app to broker telemetry transport with mutual certificate validation,Done,Security,RabbitMQ TLS-only listener and app client cert auth added
Add full service-to-service end-to-end TLS,Encrypt all internal runtime hops including broker and data plane,In Progress,Security,broker mTLS complete; DB/cache mTLS still pending
Add centralized log pipeline and retention policy in containers,Collect and retain application and security logs,Done,Observability,Vector and Loki stack with local retention enabled
Add local supply-chain security gate,Generate SBOM, scan CVEs, and verify signed images before deploy,Done,Security,Dockerized syft grype cosign workflows and Make targets
Add tamper-evident audit trail chaining,Protect audit stream integrity against silent record tampering,Done,Security,hash-linked audit events implemented in logging framework
Add stronger AAA controls,Enforce constant-time auth checks optional MFA and lockout policy,Done,Security,AAA lockout and optional MFA code validation added
Add health checks startup ordering and restart policies for all services,Improve service reliability and self-healing behavior,Done,DevOps,depends_on health conditions and healthchecks configured
Add backup/restore workflow for PostgreSQL and Redis state,Guarantee recoverability for operational data,Done,DevOps,backup scripts and make targets added
Add container security baseline (non-root minimal images pinned versions),Reduce container attack surface and supply-chain risk,Done,Security,non-root app read-only fs no-new-privileges and cap-drop
Add infrastructure integration tests and security QA checks,Validate runtime stack and hardening controls end-to-end,Done,QA,compose config validation and pytest baseline integrated
Add project Makefile for easy test easy deploy and easy QA operations,Create one-command developer and operator workflows,Done,DevOps,Makefile includes deploy test qa backups and security-check
Add QA runbook and full-regression command targets,Standardize complete QA execution for local and CI usage,Done,QA,QA_RUNBOOK and full-regression Make target added
Commit security/container platform baseline,Commit hardened infrastructure baseline,Done,DevOps,Hardening baseline implemented in repo
Implement wrapper module (Gobuster / DirBuster),Directory brute-force scanning,Backlog,Dev,
Configure wordlists (Gobuster / DirBuster),Set up wordlists,Backlog,Dev,
Automate directory scan (Gobuster / DirBuster),Run directory scans,Backlog,Dev,
Parse results (Gobuster / DirBuster),Parse directory scan results,Backlog,Dev,
Send to orchestrator (Gobuster / DirBuster),Push results to engine,Backlog,Dev,
Unit tests (Gobuster / DirBuster),Test wrapper,Backlog,Dev,
Commit wrapper (Gobuster / DirBuster),Commit code,Backlog,Dev,
QA: validate coverage (Gobuster / DirBuster),Check directories found,Backlog,QA,
QA: telemetry integration (Gobuster / DirBuster),Confirm telemetry sent,Backlog,QA,
Implement wrapper (Impacket),AD & network protocol tools,Backlog,Dev,
Execute SMB/LDAP/NTLM tests (Impacket),Run network tests,Backlog,Dev,
Capture output (Impacket),Collect results,Backlog,Dev,
Send telemetry (Impacket),Push results to engine,Backlog,Dev,
Unit tests (Impacket),Test wrapper,Backlog,Dev,
Commit wrapper (Impacket),Commit code,Backlog,Dev,
QA: verify network protocol handling (Impacket),Check protocol coverage,Backlog,QA,
QA: telemetry checks (Impacket),Confirm telemetry,Backlog,QA,
Execute AD enumeration (BloodHound),Enumerate AD,Backlog,Dev,
Build graph data (BloodHound),Build AD graph,Backlog,Dev,
Send to orchestrator (BloodHound),Push results,Backlog,Dev,
Logging & telemetry (BloodHound),Log events,Backlog,Dev,
Unit tests (BloodHound),Test wrapper,Backlog,Dev,
Commit wrapper (BloodHound),Commit code,Backlog,Dev,
QA: validate AD graph (BloodHound),Check graph accuracy,Backlog,QA,
QA: telemetry delivery (BloodHound),Confirm telemetry sent,Backlog,QA,
AWS SDK/Boto3 integration,Collect AWS data,Backlog,Dev,
Azure SDK integration,Collect Azure data,Backlog,Dev,
GCP SDK integration,Collect GCP data,Backlog,Dev,
Jenkins / GitLab / GitHub Actions integration,Collect CI/CD info,Backlog,Dev,
Terraform / Ansible checks,Infrastructure as code checks,Backlog,Dev,
Logging & telemetry (Cloud/CI),Log results,Backlog,Dev,
Unit tests (Cloud/CI),Test cloud/CI wrappers,Backlog,Dev,
Commit wrapper (Cloud/CI),Commit code,Backlog,Dev,
QA: verify cloud data collection,Check cloud integrations,Backlog,QA,
QA: CI/CD pipeline validation,Verify CI/CD info,Backlog,QA,
Implement mobile scanner integration,Mobile pentest tools,Backlog,Dev,
API fuzzing tools integration,API pentest automation,Backlog,Dev,
Web vulnerability scanners (OWASP ZAP),Web app scans,Backlog,Dev,
Capture results (Mobile/API/Web),Collect findings,Backlog,Dev,
Send telemetry (Mobile/API/Web),Push results,Backlog,Dev,
Unit tests (Mobile/API/Web),Test wrappers,Backlog,Dev,
Commit wrapper (Mobile/API/Web),Commit code,Backlog,Dev,
QA: validate scans (Mobile/API/Web),Verify scan coverage,Backlog,QA,
QA: telemetry integration (Mobile/API/Web),Confirm telemetry sent,Backlog,QA,
Implement ATT&CK scenarios,Red Team simulations,Backlog,Dev,
Implement Chaos Monkey / Chaos Toolkit scripts,Chaos/Failure simulations,Backlog,Dev,
Failure simulation scripts,Simulate failures,Backlog,Dev,
Logging & telemetry (Red Team),Log events,Backlog,Dev,
Unit tests (Red Team),Test wrapper,Backlog,Dev,
Commit wrapper (Red Team),Commit code,Backlog,Dev,
QA: validate simulation scenarios (Red Team),Confirm scenarios work,Backlog,QA,
QA: telemetry delivery (Red Team),Confirm telemetry sent,Backlog,QA,
Design manual input API,Manual pentester input ingestion,Backlog,Dev,
Implement authentication & authorization (Manual),AAA enforcement for manual tests,Backlog,Dev,
Implement audit logging (Manual),Audit manual submissions,Backlog,Dev,
Implement Metasploit manual-ingestion connector (pull sessions/events),Ingest manual Metasploit execution results,Backlog,Integration,
Integrate manual results into orchestrator,Push manual results to engine,Backlog,Dev,
Unit tests (Manual),Test manual input API,Backlog,Dev,
Commit code (Manual),Commit code,Backlog,Dev,
QA: verify manual test ingestion,Confirm manual tests received,Backlog,QA,
QA: telemetry delivery (Manual),Confirm telemetry sent,Backlog,QA,
Research AI pentest API,Study AI tools for pentesting,Backlog,Future,
Design integration layer (AI),Plan AI integration,Backlog,Future,
Implement AI query module,Query AI for pentesting tasks,Backlog,Future,
Send/receive results to orchestrator (AI),Push AI output,Backlog,Future,
Logging & telemetry (AI),Log AI events,Backlog,Future,
Unit tests (AI),Test AI module,Backlog,Future,
Commit code (AI),Commit AI integration,Backlog,Future,
QA: validate AI suggestions,Check AI outputs,Backlog,QA,
QA: telemetry integration (AI),Confirm telemetry sent,Backlog,QA,
Finalize API calls for VectorVue,Complete integration,Backlog,Integration,
Implement secure data push (VectorVue),Securely push results,Backlog,Integration,
Verify event batching (VectorVue),Ensure batch delivery,Backlog,Integration,
End-to-end test with SpectraStrike,Full system validation,Backlog,Integration,
Logging & telemetry (VectorVue),Log all events,Backlog,Integration,
Unit tests (VectorVue),Test full pipeline,Backlog,Integration,
Commit code (VectorVue),Commit integration,Backlog,Integration,
QA: end-to-end validation,Confirm end-to-end functionality,Backlog,QA,
QA: verify AAA & audit logging,Confirm AAA & audit,Backlog,QA,
QA: confirm telemetry accuracy,Check telemetry consistency,Backlog,QA,
Write user documentation,Document usage,Backlog,Dev,
Write developer documentation,Document code & API,Backlog,Dev,
Prepare deployment scripts,Scripts for release,Backlog,Dev,
Final QA review,Final testing,Backlog,QA,
Final commit,Commit final code,Backlog,Dev,
Tag release in Git,Tag version release,Backlog,Dev,
QA: documentation review,Review docs,Backlog,QA,
QA: final regression tests,Run regression tests,Backlog,QA,
